player_id,Player,Games Played,Minutes,PER,NBA Rating,OREB%,DREB%,REB%,AST/TO,Points,Assists,Rebounds
3102530,Jusuf Nurkic,51.0,20.843138,15.238,20.693136,8.782,0.0,20.464,1.185567,8.882353,2.254902,7.8039217
3102531,Kristaps Porzingis,42.0,28.809525,22.376,33.49167,0.0,0.0,0.0,1.6415094,19.47619,2.0714285,6.7619047
3102532,Vasilije Micic,41.0,19.146341,6.517,11.617073,2.665,0.0,6.048,1.6623377,6.5609756,3.121951,2.1707318
3112335,Nikola Jokic,70.0,36.728573,32.116,62.932144,0.0,0.0,0.0,3.1130435,29.585714,10.228572,12.742857
3133603,Kelly Oubre Jr.,60.0,34.633335,13.53,26.170834,0.0,0.0,0.0,1.35,15.1,1.8,6.133333
3133628,Myles Turner,72.0,30.194445,16.175,28.470833,0.0,0.0,0.0,0.902439,15.555555,1.5416666,6.5416665
3134907,Kyle Kuzma,65.0,29.784615,10.613,23.316923,3.028,0.0,10.176,1.0410959,14.83077,2.3384616,5.6923075
3134908,Jakob Poeltl,57.0,29.578947,20.074,32.583332,0.0,0.0,0.0,1.4234234,14.4561405,2.7719297,9.596491
3135045,Grayson Allen,64.0,24.125,13.714,18.403906,0.0,0.0,0.0,1.8266667,10.625,2.140625,3.03125
3135046,Tyus Jones,81.0,26.839506,14.577,21.449999,0.0,0.0,0.0,4.714286,10.234568,5.296296,2.419753
3136193,Devin Booker,75.0,37.266666,19.368,41.38533,0.0,0.0,0.0,2.4045455,25.64,7.0533333,4.0666666
3136195,Karl-Anthony Towns,72.0,34.958332,23.482,45.477085,0.0,0.0,0.0,1.15625,24.430555,3.0833333,12.777778
3136776,D'Angelo Russell,58.0,25.51724,14.046,22.89224,1.516,0.0,6.188,2.75,12.620689,5.12069,2.7931035
3138160,Caleb Martin,45.0,27.066668,9.636,15.514445,4.76,0.0,8.155,1.6964285,7.911111,2.1111112,3.9333334
3138161,Cody Martin,53.0,22.132076,11.32,15.033019,4.791,0.0,10.256,2.0588236,6.754717,1.981132,4.226415
3138196,Cameron Johnson,57.0,31.578947,18.298,30.864035,0.0,0.0,0.0,1.9595959,18.77193,3.4035087,4.3333335
3147657,Mikal Bridges,82.0,37.02439,14.088,29.046343,0.0,0.0,0.0,2.3181818,17.609756,3.7317073,3.1585367
3149673,Pascal Siakam,78.0,32.666668,19.274,35.261536,0.0,0.0,0.0,2.412844,20.23077,3.371795,6.923077
3150844,Moritz Wagner,30.0,18.8,22.337,22.018333,0.0,0.0,0.0,0.85714287,12.866667,1.4,4.9333334
3155526,Dillon Brooks,75.0,31.84,11.028,21.49,0.0,0.0,0.0,1.6842105,14.04,1.7066667,3.6666667
3155535,Kevon Looney,76.0,15.026316,17.063,13.911842,0.0,0.0,0.0,3.025641,4.5263157,1.5526316,6.0789475
3155942,Domantas Sabonis,70.0,34.7,22.986,44.408573,0.0,0.0,0.0,2.0940595,19.1,6.042857,13.885715
